Lens Mount;Crop Factor;Lens Focal length in mm;Full Frame Focal length equivalent in mm;Aperture in f-stop;Full Frame equivalent Aperture in f-stop;Weight in gram;Length in mm;Has weather sealing?
Fujifilm X;1,5;16;24;1,4;2,1;375 ;73 ;Yes
Nikon Z;1;24;24;1,8;1,8;450 ;97 ;Yes
